,session_id,month,weekYear,season,item_id,duration,timestamps,item_ids,durations
0,722.0,1.0,01,4.0,"[6595.0, 6673.0]","[254.0, 1.0]","[1578233014.856, 1578233036.24]","[[6595.0, 6673.0, 6595.0, 6673.0]]","[[254.0, 1.0, 254.0, 1.0]]"
1,900.0,9.0,37,3.0,"[4160.0, 2129.0]","[262.0, 703.0]","[1599999480.399, 1599999616.91]","[[4160.0, 2129.0, 4160.0, 2129.0]]","[[262.0, 703.0, 262.0, 703.0]]"
2,927.0,12.0,53,4.0,"[17056.0, 11605.0]","[241.0, 1.0]","[1609366357.854, 1609366461.021]","[[17056.0, 11605.0, 17056.0, 11605.0]]","[[241.0, 1.0, 241.0, 1.0]]"
3,1999.0,6.0,25,2.0,"[19142.0, 168.0]","[1.0, 1.0]","[1592496938.45, 1592497370.54]","[[19142.0, 168.0, 19142.0, 168.0]]","[[1.0, 1.0, 1.0, 1.0]]"
4,2179.0,7.0,31,2.0,"[1900.0, 2525.0]","[1.0, 1.0]","[1596016115.993, 1596016247.032]","[[1900.0, 2525.0, 1900.0, 2525.0]]","[[1.0, 1.0, 1.0, 1.0]]"
5,2429.0,12.0,49,4.0,"[21781.0, 2072.0]","[1.0, 1.0]","[1606845899.265, 1606846007.5]","[[21781.0, 2072.0, 21781.0, 2072.0]]","[[1.0, 1.0, 1.0, 1.0]]"
6,2676.0,8.0,34,2.0,"[8673.0, 1328.0]","[1.0, 1.0]","[1597905934.333, 1597913276.644]","[[8673.0, 1328.0, 8673.0, 1328.0]]","[[1.0, 1.0, 1.0, 1.0]]"
7,2875.0,3.0,12,1.0,"[26257.0, 27078.0]","[238.0, 1.0]","[1616948567.459, 1616949092.436]","[[26257.0, 27078.0, 26257.0, 27078.0]]","[[238.0, 1.0, 238.0, 1.0]]"
8,2964.0,7.0,29,2.0,"[19467.0, 21522.0]","[1.0, 1.0]","[1594932995.298, 1594933156.496]","[[19467.0, 21522.0, 19467.0, 21522.0]]","[[1.0, 1.0, 1.0, 1.0]]"
9,3092.0,5.0,19,1.0,"[19525.0, 22405.0, 11428.0]","[1.0, 2888.0, 1.0]","[1620812487.864, 1620817444.91, 1620818031.947]","[[19525.0, 22405.0, 11428.0, 19525.0], [11428.0, 19525.0, 22405.0, 11428.0]]","[[1.0, 2888.0, 1.0, 1.0], [1.0, 1.0, 2888.0, 1.0]]"
10,3109.0,12.0,51,4.0,"[19712.0, 18392.0]","[1.0, 220.0]","[1608062733.312, 1608062988.419]","[[19712.0, 18392.0, 19712.0, 18392.0]]","[[1.0, 220.0, 1.0, 220.0]]"
11,3299.0,12.0,51,4.0,"[15651.0, 12500.0]","[1.0, 1.0]","[1608380581.361, 1608380980.536]","[[15651.0, 12500.0, 15651.0, 12500.0]]","[[1.0, 1.0, 1.0, 1.0]]"
12,3437.0,5.0,22,1.0,"[27656.0, 27656.0]","[1471.0, 1.0]","[1590506869.74, 1590512707.073]","[[27656.0, 27656.0, 27656.0, 27656.0]]","[[1471.0, 1.0, 1471.0, 1.0]]"
13,4028.0,9.0,38,3.0,"[20476.0, 24009.0]","[1.0, 1.0]","[1600542933.933, 1600544354.039]","[[20476.0, 24009.0, 20476.0, 24009.0]]","[[1.0, 1.0, 1.0, 1.0]]"
14,4347.0,5.0,21,1.0,"[10896.0, 16922.0]","[21.0, 1.0]","[1622128731.052, 1622129130.855]","[[10896.0, 16922.0, 10896.0, 16922.0]]","[[21.0, 1.0, 21.0, 1.0]]"
15,4941.0,6.0,23,2.0,"[18058.0, 15740.0]","[1.0, 1.0]","[1591347132.138, 1591347174.564]","[[18058.0, 15740.0, 18058.0, 15740.0]]","[[1.0, 1.0, 1.0, 1.0]]"
16,5050.0,2.0,08,4.0,"[5408.0, 7525.0, 23065.0]","[1.0, 270.0, 1.0]","[1613999607.668, 1614022438.785, 1614023599.478]","[[5408.0, 7525.0, 23065.0, 5408.0], [23065.0, 5408.0, 7525.0, 23065.0]]","[[1.0, 270.0, 1.0, 1.0], [1.0, 1.0, 270.0, 1.0]]"
17,5266.0,6.0,23,2.0,"[3774.0, 24243.0]","[1.0, 1.0]","[1591130529.476, 1591130540.105]","[[3774.0, 24243.0, 3774.0, 24243.0]]","[[1.0, 1.0, 1.0, 1.0]]"
18,5335.0,5.0,22,1.0,"[2368.0, 5764.0]","[1.0, 3917.0]","[1590393157.083, 1590393195.028]","[[2368.0, 5764.0, 2368.0, 5764.0]]","[[1.0, 3917.0, 1.0, 3917.0]]"
19,5684.0,5.0,20,1.0,"[18657.0, 17089.0]","[1.0, 652.0]","[1621436588.94, 1621436805.841]","[[18657.0, 17089.0, 18657.0, 17089.0]]","[[1.0, 652.0, 1.0, 652.0]]"
20,5868.0,5.0,19,1.0,"[22488.0, 16767.0]","[1.0, 1.0]","[1621017545.202, 1621017969.903]","[[22488.0, 16767.0, 22488.0, 16767.0]]","[[1.0, 1.0, 1.0, 1.0]]"
21,5887.0,6.0,24,2.0,"[14541.0, 19770.0, 16912.0]","[1.0, 1.0, 1.0]","[1591972752.477, 1591973043.03, 1591975259.526]","[[14541.0, 19770.0, 16912.0, 14541.0], [16912.0, 14541.0, 19770.0, 16912.0]]","[[1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0]]"
22,5959.0,4.0,14,1.0,"[955.0, 3658.0]","[1.0, 1.0]","[1618165348.918, 1618165376.577]","[[955.0, 3658.0, 955.0, 3658.0]]","[[1.0, 1.0, 1.0, 1.0]]"
23,6219.0,10.0,40,3.0,"[174.0, 15523.0]","[1.0, 1.0]","[1601578750.346, 1601579647.273]","[[174.0, 15523.0, 174.0, 15523.0]]","[[1.0, 1.0, 1.0, 1.0]]"
24,6747.0,7.0,27,2.0,"[1239.0, 194.0]","[1.0, 1.0]","[1593682560.112, 1593683184.985]","[[1239.0, 194.0, 1239.0, 194.0]]","[[1.0, 1.0, 1.0, 1.0]]"
25,6792.0,12.0,52,4.0,"[121.0, 19821.0]","[1.0, 36602.0]","[1609008850.865, 1609009589.144]","[[121.0, 19821.0, 121.0, 19821.0]]","[[1.0, 36602.0, 1.0, 36602.0]]"
26,6980.0,8.0,35,2.0,"[653.0, 11681.0]","[67.0, 1.0]","[1598453945.901, 1598454005.797]","[[653.0, 11681.0, 653.0, 11681.0]]","[[67.0, 1.0, 67.0, 1.0]]"
27,7248.0,11.0,45,3.0,"[20195.0, 18092.0]","[1.0, 1.0]","[1604874615.543, 1604874676.42]","[[20195.0, 18092.0, 20195.0, 18092.0]]","[[1.0, 1.0, 1.0, 1.0]]"
28,7499.0,4.0,16,1.0,"[20667.0, 13222.0]","[2830.0, 1.0]","[1586768261.449, 1586780607.582]","[[20667.0, 13222.0, 20667.0, 13222.0]]","[[2830.0, 1.0, 2830.0, 1.0]]"
29,8493.0,5.0,18,1.0,"[21425.0, 3710.0]","[1.0, 1.0]","[1620023505.675, 1620028272.13]","[[21425.0, 3710.0, 21425.0, 3710.0]]","[[1.0, 1.0, 1.0, 1.0]]"
30,8791.0,12.0,49,4.0,"[18806.0, 18154.0]","[1.0, 1.0]","[1607278594.158, 1607278703.412]","[[18806.0, 18154.0, 18806.0, 18154.0]]","[[1.0, 1.0, 1.0, 1.0]]"
31,8973.0,10.0,43,3.0,"[23418.0, 6139.0]","[1.0, 1.0]","[1603097662.072, 1603097764.444]","[[23418.0, 6139.0, 23418.0, 6139.0]]","[[1.0, 1.0, 1.0, 1.0]]"
32,9020.0,4.0,17,1.0,"[3157.0, 10604.0]","[1.0, 1.0]","[1587474571.474, 1587474617.006]","[[3157.0, 10604.0, 3157.0, 10604.0]]","[[1.0, 1.0, 1.0, 1.0]]"
33,9238.0,6.0,23,2.0,"[15146.0, 21789.0, 9309.0]","[1.0, 1.0, 1.0]","[1591170350.72, 1591172852.387, 1591212042.201]","[[15146.0, 21789.0, 9309.0, 15146.0], [9309.0, 15146.0, 21789.0, 9309.0]]","[[1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0]]"
34,9605.0,10.0,41,3.0,"[7998.0, 15117.0]","[1.0, 1.0]","[1602232061.376, 1602232370.403]","[[7998.0, 15117.0, 7998.0, 15117.0]]","[[1.0, 1.0, 1.0, 1.0]]"
35,10366.0,2.0,05,4.0,"[27613.0, 22747.0]","[6937.0, 2560.0]","[1612295987.143, 1612296063.957]","[[27613.0, 22747.0, 27613.0, 22747.0]]","[[6937.0, 2560.0, 6937.0, 2560.0]]"
36,10382.0,9.0,40,3.0,"[15413.0, 3842.0]","[1.0, 1.0]","[1601414250.698, 1601415056.829]","[[15413.0, 3842.0, 15413.0, 3842.0]]","[[1.0, 1.0, 1.0, 1.0]]"
37,10555.0,5.0,19,1.0,"[26389.0, 20770.0, 20770.0, 6735.0]","[648.0, 1.0, 1.0, 1.0]","[1589024567.261, 1589025807.237, 1589025923.905, 1589025957.269]","[[26389.0, 20770.0, 20770.0, 6735.0]]","[[648.0, 1.0, 1.0, 1.0]]"
38,10670.0,8.0,35,2.0,"[10026.0, 19992.0]","[1.0, 1.0]","[1598673556.918, 1598673948.133]","[[10026.0, 19992.0, 10026.0, 19992.0]]","[[1.0, 1.0, 1.0, 1.0]]"
39,10918.0,1.0,02,4.0,"[26691.0, 21687.0]","[1.0, 1.0]","[1610379531.732, 1610379639.508]","[[26691.0, 21687.0, 26691.0, 21687.0]]","[[1.0, 1.0, 1.0, 1.0]]"
40,11084.0,9.0,36,3.0,"[3697.0, 15968.0]","[1.0, 14.0]","[1599296939.787, 1599299835.377]","[[3697.0, 15968.0, 3697.0, 15968.0]]","[[1.0, 14.0, 1.0, 14.0]]"
41,11134.0,5.0,18,1.0,"[20258.0, 18221.0]","[1.0, 1.0]","[1620584288.917, 1620584433.624]","[[20258.0, 18221.0, 20258.0, 18221.0]]","[[1.0, 1.0, 1.0, 1.0]]"
42,11529.0,2.0,06,4.0,"[4493.0, 15767.0]","[6169.0, 1.0]","[1580847802.752, 1580848068.245]","[[4493.0, 15767.0, 4493.0, 15767.0]]","[[6169.0, 1.0, 6169.0, 1.0]]"
43,11862.0,4.0,15,1.0,"[26601.0, 7643.0]","[1.0, 1.0]","[1618509422.067, 1618509460.484]","[[26601.0, 7643.0, 26601.0, 7643.0]]","[[1.0, 1.0, 1.0, 1.0]]"
44,12091.0,3.0,12,1.0,"[14491.0, 22168.0]","[1.0, 1.0]","[1584532200.521, 1584532225.191]","[[14491.0, 22168.0, 14491.0, 22168.0]]","[[1.0, 1.0, 1.0, 1.0]]"
