,session_id,month,weekYear,season,item_id,duration,item_ids,durations
0,722.0,1.0,01,4.0,"[6595.0, 6673.0]","[254.0, 1.0]","[6595.0, 6673.0, 6595.0, 6673.0]","[254.0, 1.0, 254.0, 1.0]"
1,900.0,9.0,37,3.0,"[4160.0, 2129.0]","[262.0, 703.0]","[4160.0, 2129.0, 4160.0, 2129.0]","[262.0, 703.0, 262.0, 703.0]"
2,927.0,12.0,53,4.0,"[17056.0, 11605.0]","[241.0, 1.0]","[17056.0, 11605.0, 17056.0, 11605.0]","[241.0, 1.0, 241.0, 1.0]"
3,1999.0,6.0,25,2.0,"[19142.0, 168.0]","[1.0, 1.0]","[19142.0, 168.0, 19142.0, 168.0]","[1.0, 1.0, 1.0, 1.0]"
4,2179.0,7.0,31,2.0,"[1900.0, 2525.0]","[1.0, 1.0]","[1900.0, 2525.0, 1900.0, 2525.0]","[1.0, 1.0, 1.0, 1.0]"
5,2429.0,12.0,49,4.0,"[21781.0, 2072.0]","[1.0, 1.0]","[21781.0, 2072.0, 21781.0, 2072.0]","[1.0, 1.0, 1.0, 1.0]"
6,2676.0,8.0,34,2.0,"[8673.0, 1328.0]","[1.0, 1.0]","[8673.0, 1328.0, 8673.0, 1328.0]","[1.0, 1.0, 1.0, 1.0]"
7,2875.0,3.0,12,1.0,"[26257.0, 27078.0]","[238.0, 1.0]","[26257.0, 27078.0, 26257.0, 27078.0]","[238.0, 1.0, 238.0, 1.0]"
8,2964.0,7.0,29,2.0,"[19467.0, 21522.0]","[1.0, 1.0]","[19467.0, 21522.0, 19467.0, 21522.0]","[1.0, 1.0, 1.0, 1.0]"
9,3092.0,5.0,19,1.0,"[19525.0, 22405.0, 11428.0]","[1.0, 2888.0, 1.0]","[19525.0, 22405.0, 11428.0, 19525.0]","[1.0, 2888.0, 1.0, 1.0]"
10,3092.0,5.0,19,1.0,"[19525.0, 22405.0, 11428.0]","[1.0, 2888.0, 1.0]","[11428.0, 19525.0, 22405.0, 11428.0]","[1.0, 1.0, 2888.0, 1.0]"
11,3109.0,12.0,51,4.0,"[19712.0, 18392.0]","[1.0, 220.0]","[19712.0, 18392.0, 19712.0, 18392.0]","[1.0, 220.0, 1.0, 220.0]"
12,3299.0,12.0,51,4.0,"[15651.0, 12500.0]","[1.0, 1.0]","[15651.0, 12500.0, 15651.0, 12500.0]","[1.0, 1.0, 1.0, 1.0]"
13,3437.0,5.0,22,1.0,"[27656.0, 27656.0]","[1471.0, 1.0]","[27656.0, 27656.0, 27656.0, 27656.0]","[1471.0, 1.0, 1471.0, 1.0]"
14,4028.0,9.0,38,3.0,"[20476.0, 24009.0]","[1.0, 1.0]","[20476.0, 24009.0, 20476.0, 24009.0]","[1.0, 1.0, 1.0, 1.0]"
15,4347.0,5.0,21,1.0,"[10896.0, 16922.0]","[21.0, 1.0]","[10896.0, 16922.0, 10896.0, 16922.0]","[21.0, 1.0, 21.0, 1.0]"
